50	大根仁	筱原凉子|广濑铃|板谷由夏|小池荣子|友坂理惠|渡边直美|池田依来沙|山本舞香|野田美櫻|田边桃子|富田望生|三浦春马|中川雅也|新井浩文|矢本悠马
51	格兰特·斯布托尔	萝丝·拜恩|克拉拉·卢嘉|希拉里·斯万克|约翰尼·卡森|乌比·戈德堡|史蒂夫·马丁|Luke Hawker|Maddie Lenton|Summer Lenton|Hazel Sandery|Tahlia Sturzaker|Jacob Nolan
52	弗洛里安·亨克尔·冯·多纳斯马尔克	汤姆·希林|塞巴斯蒂安·科赫|葆拉·贝尔|莎斯琪亚·罗森道尔|奥利弗·马苏奇|叶甫根尼·希迪金|马克·扎克|乌尔里克·C·扎勒|巴斯蒂安·特罗斯特|汉斯-尤韦·鲍尔|汉诺·科夫勒|辛纳克·勋纳曼|詹妮特·海因|乔切·舒托夫|约翰娜·加斯多夫|弗罗里安·巴西奥罗麦|本·贝克
53	安德烈·沃金	安东·庞布施尼|尤里·库琴科|米洛斯·比柯维奇|米莱纳拉·德罗维奇|拉芙珊娜·库珂娃|阿勒克山达·斯雷科维奇|乔基科·米提克|德米特里·弗里德|米奥德拉格·拉多尼奇|埃米尔·库斯图里卡|谢尔盖·马林|尼基塔·科洛格利维|罗曼·库特辛|亚历山大·拉多伊契奇|埃菲姆·彼得鲁宁|安瓦尔·哈里路拉耶夫|瓦西利萨·涅姆科娃
54	林孝谦	陈意涵|刘以豪|张书豪|陈庭妮|吴映洁|禾浩辰|游大庆|石知田|黄丽玲|姚爱宁
55	万玛才旦	金巴|更登彭措|索朗旺姆
56	于淼	佟大为|马丽|霍思燕|乔杉|田雨|代乐乐|奚梦瑶|艾伦|张晨光|杨玏|李成敏|许娣|李萍|张帆|徐冬冬|何泓姗|姜来|刘奇|杜江|钟鹿纯|丁龙儿|丁歌|韩昕妤|耿杨|李柄熹|刘润男|贝镜水|李伟|赵宇涵|马嘉璐|津玮|Aleksandr|毕大勋|刘剑|常诚|Natalya|李恬洁|贝乐乐
57	李炳宪	柳承龙|李东辉|李荷妮|陈善圭|申河均
58	凯文·库尔施|丹尼斯·维德迈尔	杰森·克拉克|艾米·西米茨|约翰·利思戈|杰特·劳伦斯|雨果·拉瓦|卢卡斯·拉瓦|奥布萨·艾哈迈德|阿丽莎·布鲁克·莱文|玛丽亚·埃雷拉|弗兰克·萧宾|琳达·E·史密斯|索尼娅·玛丽亚·基里拉|娜奥米·弗伦内特|艾丽森·奥唐奈尔
59	张宰贤	李政宰|朴正民|李在仁|陈善圭
60	奥利维亚·王尔德	凯特琳·德弗|丽莎·库卓|威尔·福特|杰森·苏戴奇斯|比莉·洛德|斯凯勒·吉桑多|莫莉·戈登|杰西卡·威廉姆斯|比妮·费尔德斯坦|戴安娜·希维斯|爱德华多·弗兰科|迈克尔·帕特里克·奥布莱恩|诺亚·盖尔文|黛布·海特|阿德里安·法维拉
61	五百	王千源|包贝尔|王迅|王砚辉|屈菁菁|周游|韩烨洲|盖玥希|刘敏涛|梅婷|潘粤明|乔振宇|景岗山|杜源|高捷|寇占文|刘天佐|马浴柯|霍青|邢瀚卿|李蓓蕾|万沛鑫|张皓然|谢孟伟|姜寒|肖涵|吕晓霖|马京京|黎宇航|成方旭|王子清|王昱涵|王昱淇|郭紫铭|要武|滕根|张奥
62	郑芬芬	张子枫|彭昱畅|赵今麦|孙泽源|周翊然|刘冠毅|姜宏波|徐光宇
